address,area,price
天成花园-SM附近,湖里,1500
天成花园-吕厝西,思明,2200
莲花新城三期-集美新城,集美,1480
大黄峰公寓-莲花五村,思明,1500
思明电影院附近-中山路,思明,1400
嘉盛豪园-瑞景,思明,4600
思东商厦-大同路,思明,4800
金鸡亭花园小区-金鸡亭,思明,3500
金鸡亭-金鸡亭,思明,3000
龙山山庄-莲前西路,思明,4100
金鸡亭-金鸡亭,思明,2900
金鸡亭-金鸡亭,思明,2850
侨福城三期-瑞景,思明,4500
嘉盛豪园-瑞景,思明,900
嘉盛豪园-瑞景,思明,4500
民立小学附近-中山路,思明,1600
山木清华-莲前,思明,3800
中华城附近-中山路,思明,7000
源通中心-厦禾路,思明,2500
中山路民宅-中山路,思明,1500
洪山柄北区-莲前西路,思明,1658
凤头-环岛路,思明,1450
凤头-环岛路,思明,1450
洪山柄北区-莲前西路,思明,1700
软件园二期-软件园,思明,1000
凤头-环岛路,思明,1450
凤头-环岛路,思明,1450
凤头-环岛路,思明,1450
凤头-环岛路,思明,1500
凤头-观音山,思明,1300
中山海景广场-中山路,思明,5000
阳光花园-松柏,思明,3900
宝龙中心-长青路,思明,5000
联丰新城-瑞景,思明,6000
鑫塔水尚-观音山,思明,9000
新景花园-软件园,思明,3600
岭兜二里-软件园,思明,3400
天成花园-吕厝西,思明,2200
福满山庄-瑞景,思明,1400
罗宾森璀璨新城二期-火车站,思明,4300
新景中心-嘉禾路,思明,78000
瑞景嘉盛豪园-瑞景,思明,1300
鑫塔水尚-观音山,思明,9500
舒心阳光公寓-观音山,思明,1500
舒心阳光公寓-莲前东路,思明,1950
凤头-环岛路,思明,1000
嘉盛豪园-瑞景,思明,1742
嘉盛豪园-瑞景,思明,1716
瑞景商业广场-瑞景,思明,1800
嘉盛豪园-瑞景,思明,1700
凤头-环岛路,思明,1100
嘉盛豪园（莲前）-莲前西路,思明,1750
嘉盛豪园-瑞景,思明,1658
凤头-环岛路,思明,900
古楼广场-白城,思明,3280
舒心阳光公寓-会展路,思明,1550
中山晶品公寓-大同路,思明,1300
中山晶品公寓-中山路,思明,1500
岭兜二里-前埔北区,思明,4500
岭兜小区岭兜二里新景花园明发园明发城新景花园何厝小区香山海景苑前埔北区家家海景海艺大厦-软件园,思明,2900
莲龙楼-莲前西路,思明,3200
屿后南里-松柏,思明,2880
禹州华侨-鹭江道,思明,4000
九龙城-厦禾路,思明,1800
世贸国际-火车站,思明,3800
海艺大厦-前埔北区,思明,2100
万泰东方-观音山,思明,6000
水晶国际-观音山,思明,2800
侨福城二期-莲前东路,思明,4800
侨福城小区二期-莲前东路,思明,4200
嘉盛豪园-瑞景,思明,1658
嘉盛豪园（莲前）-莲前西路,思明,1750
嘉盛豪园-瑞景,思明,1750
嘉盛豪园-瑞景,思明,1700
凤头-环岛路,思明,1450
海峡国际社区-白城,思明,3200
凤头-环岛路,思明,1450
凤头-环岛路,思明,1500
凤头-环岛路,思明,1100
凤头-环岛路,思明,1100
